Datetime,Last Current price,24 Hr Price Change,24 Hr High Price,24 Hr Low Price,24 Hr Volume,Coins,Base Currency,Exchanges URL,Exchanges
35:47.7,N/A,2.68%,N/A,N/A,1.52K,Bitcoin Gold,USDT,https://gate.io/trade/BTG_USDT,Gate.io
2018-08-17 13:37:16.458219,N/A,+3.43%,N/A,N/A,1.69K,Bitcoin Gold,USDT,https://gate.io/trade/BTG_USDT,Gate.io
