Datetime,Last Current price,24 Hr Price Change,24 Hr High Price,24 Hr Low Price,24 Hr Volume,Coins,Base Currency,Exchanges URL,Exchanges
2018-08-17 11:39:41.626191,0.2989,+2.11%,0.3050,0.2871,91584207,XRP,USDT.,https://www.huobi.com/xrp_usdt/exchange//,Huobi
2018-08-17 11:39:59.823207,0.2993,+2.25%,0.3050,0.2871,91607084,XRP,USDT.,https://www.huobi.com/xrp_usdt/exchange//,Huobi
2018-08-17 12:21:58.678865,0.3002,+2.56%,0.3050,0.2871,95431663,XRP,USDT.,https://www.huobi.com/xrp_usdt/exchange//,Huobi
